filename,artist,title,duration_seconds,cover_path,decided_by
"Arijit Singh, Shreyas Puranik, Siddharth - Garima - Satranga (From 'ANIMAL').mp3",Arijit Singh/Shreyas Puranik/Siddharth - Garima,"Satranga (From ""ANIMAL"")",271.2,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Shreyas_Puranik__Siddharth_-_Garima_-_Satranga__From__ANIMAL__.jpg,tags
"Arijit Singh, Shreyas Puranik, Siddharth - Garima - Satranga.mp3",Arijit Singh/Shreyas Puranik/Siddharth - Garima,Satranga,271.2,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Shreyas_Puranik__Siddharth_-_Garima_-_Satranga.jpg,tags
"Arijit Singh, Sunidhi Chauhan - Dilliwaali Girlfriend.mp3",Arijit Singh/Sunidhi Chauhan,Dilliwaali Girlfriend,260.592,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh__Sunidhi_Chauhan_-_Dilliwaali_Girlfriend.jpg,tags
Armaan Malik - Bol Do Na Zara.mp3,Armaan Malik,Bol Do Na Zara,292.872,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik_-_Bol_Do_Na_Zara.jpg,tags
Armaan Malik - Buttabomma.mp3,Armaan Malik,Buttabomma,198.84,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik_-_Buttabomma.jpg,tags
Armaan Malik - Dil Mein Ho Tum.mp3,Armaan Malik,Dil Mein Ho Tum,326.808,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik_-_Dil_Mein_Ho_Tum.jpg,tags
Armaan Malik - Jab Tak.mp3,Armaan Malik,Jab Tak,174.072,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik_-_Jab_Tak.jpg,tags
Armaan Malik - Main Rahoon Ya Na Rahoon.mp3,Armaan Malik,Main Rahoon Ya Na Rahoon,319.752,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik_-_Main_Rahoon_Ya_Na_Rahoon.jpg,tags
"Armaan Malik, Amaal Mallik, Manoj Muntashir - Jab Tak.mp3",Armaan Malik/Amaal Mallik/Manoj Muntashir,Jab Tak,174.072,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik__Amaal_Mallik__Manoj_Muntashir_-_Jab_Tak.jpg,tags
"Armaan Malik, Amaal Mallik, Rashmi Virag - Bol Do Na Zara.mp3",Armaan Malik/Amaal Mallik/Rashmi Virag,Bol Do Na Zara,292.872,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik__Amaal_Mallik__Rashmi_Virag_-_Bol_Do_Na_Zara.jpg,tags
"Armaan Malik, Baman, Manoj Muntashir - Wajah Tum Ho.mp3",Armaan Malik/Baman/Manoj Muntashir,Wajah Tum Ho,357.672,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik__Baman__Manoj_Muntashir_-_Wajah_Tum_Ho.jpg,tags
"Armaan Malik, Kunaal Vermaa - Chale Aana.mp3",Armaan Malik/Kunaal Vermaa,Chale Aana,271.056,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik__Kunaal_Vermaa_-_Chale_Aana.jpg,tags
"Armaan Malik, Shraddha Kapoor - Sab Tera.mp3",Armaan Malik/Shraddha Kapoor,Sab Tera,228.144,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik__Shraddha_Kapoor_-_Sab_Tera.jpg,tags
"Armaan Malik, Vishal Mishra, Irshad Kamil - Pehla Pyaar.mp3",Armaan Malik/Vishal Mishra/Irshad Kamil,Pehla Pyaar,272.568,P:\Web Development\Audora\frontend\public\songs\covers\Armaan_Malik__Vishal_Mishra__Irshad_Kamil_-_Pehla_Pyaar.jpg,tags
Asha Bhosle - In Ankhon Ki Masti.mp3,Asha Bhosle,In Ankhon Ki Masti,343.488,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle_-_In_Ankhon_Ki_Masti.jpg,tags
"Asha Bhosle, Abhijeet - Zara Sa Jhoom Loon Main.mp3",Asha Bhosle/Abhijeet,Zara Sa Jhoom Loon Main,352.968,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle__Abhijeet_-_Zara_Sa_Jhoom_Loon_Main.jpg,tags
"Asha Bhosle, Kishore Kumar - Dhoop Mein Nikla Na Karo - From 'Geraftaar'.mp3",Asha Bhosle/Kishore Kumar,"Dhoop Mein Nikla Na Karo - From ""Geraftaar""",281.208,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle__Kishore_Kumar_-_Dhoop_Mein_Nikla_Na_Karo_-_From__Geraftaar_.jpg,tags
"Asha Bhosle, Kishore Kumar, Ravi - Yeh Raaten Yeh Mausam.mp3",Asha Bhosle/Kishore Kumar/Ravi,Yeh Raaten Yeh Mausam,207.144,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle__Kishore_Kumar__Ravi_-_Yeh_Raaten_Yeh_Mausam.jpg,tags
"Asha Bhosle, Kishore Kumar, Vaibhav Singh Music - Intaha Ho Gai Intezar Ki - Remix.mp3",Asha Bhosle/Kishore Kumar/Vaibhav Singh Music,Intaha Ho Gai Intezar Ki - Remix,173.256,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle__Kishore_Kumar__Vaibhav_Singh_Music_-_Intaha_Ho_Gai_Intezar_Ki_-_Remix.jpg,tags
"Asha Bhosle, Mohammed Rafi - Abhi Na Jao Chhod Kar.mp3",Asha Bhosle/Mohammed Rafi,Abhi Na Jao Chhod Kar,258.432,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle__Mohammed_Rafi_-_Abhi_Na_Jao_Chhod_Kar.jpg,tags
"Asha Bhosle, Mohammed Rafi - Chura Liya Hai Tumne Jo Dil Ko.mp3",Asha Bhosle/Mohammed Rafi,Chura Liya Hai Tumne Jo Dil Ko,287.88,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle__Mohammed_Rafi_-_Chura_Liya_Hai_Tumne_Jo_Dil_Ko.jpg,tags
"Asha Bhosle, Mohammed Rafi - Parda Hata Do.mp3",Asha Bhosle/Mohammed Rafi,Parda Hata Do,279.984,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle__Mohammed_Rafi_-_Parda_Hata_Do.jpg,tags
"Asha Bhosle, Mohammed Rafi, R. D. Burman - Chura Liya Hai Tumne Jo Dil Ko.mp3",Asha Bhosle/Mohammed Rafi/R. D. Burman,Chura Liya Hai Tumne Jo Dil Ko,287.88,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle__Mohammed_Rafi__R._D._Burman_-_Chura_Liya_Hai_Tumne_Jo_Dil_Ko.jpg,tags
"Asha Bhosle, Udit Narayan, Vaishali Samant, A.R. Rahman - Radha Kaise Na Jale.mp3",Asha Bhosle/Udit Narayan/Vaishali Samant/A.R. Rahman,Radha Kaise Na Jale,334.752,P:\Web Development\Audora\frontend\public\songs\covers\Asha_Bhosle__Udit_Narayan__Vaishali_Samant__A.R._Rahman_-_Radha_Kaise_Na_Jale.jpg,tags
"Atif Aslam, Chinmayi Sripaada, Pritam - Main Rang Sharbaton Ka.mp3",Atif Aslam/Chinmayi Sripaada/Pritam,Main Rang Sharbaton Ka,263.184,P:\Web Development\Audora\frontend\public\songs\covers\Atif_Aslam__Chinmayi_Sripaada__Pritam_-_Main_Rang_Sharbaton_Ka.jpg,tags
"Ayushmann Khurrana, Rochak Kohli - Pani Da Rang - Male Vocals.mp3",Ayushmann Khurrana/Rochak Kohli,Pani Da Rang - Male Vocals,239.376,P:\Web Development\Audora\frontend\public\songs\covers\Ayushmann_Khurrana__Rochak_Kohli_-_Pani_Da_Rang_-_Male_Vocals.jpg,tags
"Ayushmann Khurrana, Rochak Kohli - Pani Da Rang - Male.mp3",Ayushmann Khurrana/Rochak Kohli,Pani Da Rang - Male,239.376,P:\Web Development\Audora\frontend\public\songs\covers\Ayushmann_Khurrana__Rochak_Kohli_-_Pani_Da_Rang_-_Male.jpg,tags
"B Praak, Jaani - Mann Bharryaa 2.0 (From 'Shershaah').mp3",B Praak/Jaani,"Mann Bharryaa 2.0 (From ""Shershaah"")",266.04,P:\Web Development\Audora\frontend\public\songs\covers\B_Praak__Jaani_-_Mann_Bharryaa_2.0__From__Shershaah__.jpg,tags
BTS - Butter.mp3,BTS,Butter,164.472,P:\Web Development\Audora\frontend\public\songs\covers\BTS_-_Butter.jpg,tags
BTS - DNA.mp3,BTS,DNA,223.152,P:\Web Development\Audora\frontend\public\songs\covers\BTS_-_DNA.jpg,tags
BTS - Dynamite.mp3,BTS,Dynamite,205.752,P:\Web Development\Audora\frontend\public\songs\covers\BTS_-_Dynamite.jpg,tags
BTS - FAKE LOVE.mp3,BTS,FAKE LOVE,242.376,P:\Web Development\Audora\frontend\public\songs\covers\BTS_-_FAKE_LOVE.jpg,tags
BTS - Not Today.mp3,BTS,Not Today,231.888,P:\Web Development\Audora\frontend\public\songs\covers\BTS_-_Not_Today.jpg,tags
Badshah - She Move It Like.mp3,Badshah,She Move It Like,181.8,P:\Web Development\Audora\frontend\public\songs\covers\Badshah_-_She_Move_It_Like.jpg,tags
"Badshah, Asees Kaur, Jubin Nautiyal, Tanishk Bagchi - Akh Lad Jaave.mp3",Badshah/Asees Kaur/Jubin Nautiyal/Tanishk Bagchi,Akh Lad Jaave,180.216,P:\Web Development\Audora\frontend\public\songs\covers\Badshah__Asees_Kaur__Jubin_Nautiyal__Tanishk_Bagchi_-_Akh_Lad_Jaave.jpg,tags
"Benny Dayal, Neeti Mohan - Bang Bang.mp3",Benny Dayal/Neeti Mohan,Bang Bang,320.04,P:\Web Development\Audora\frontend\public\songs\covers\Benny_Dayal__Neeti_Mohan_-_Bang_Bang.jpg,tags
"Benny Dayal, Shalmali Kholgade, Pritam - Lat Lag Gayee.mp3",Benny Dayal/Shalmali Kholgade/Pritam,Lat Lag Gayee,280.416,P:\Web Development\Audora\frontend\public\songs\covers\Benny_Dayal__Shalmali_Kholgade__Pritam_-_Lat_Lag_Gayee.jpg,tags
"Bohemia, Sidhu Moose Wala - Same Beef.mp3",Bohemia/Sidhu Moose Wala,Same Beef,290.4,P:\Web Development\Audora\frontend\public\songs\covers\Bohemia__Sidhu_Moose_Wala_-_Same_Beef.jpg,tags
